File,five,four,one,six,three,two
C_000517.jpg,0,0,0,0,0,1
C_000518.jpg,1,0,0,0,0,0
C_000519.jpg,0,0,0,0,1,0
C_000520.jpg,0,1,0,0,0,0
C_000521.jpg,0,0,1,0,0,0
C_000522.jpg,0,0,1,0,0,0
C_000523.jpg,1,0,0,0,0,0
C_000524.jpg,0,1,0,0,0,0
C_000525.jpg,0,0,0,0,0,1
C_000526.jpg,1,0,0,0,0,0
C_000527.jpg,0,0,0,0,1,0
C_000528.jpg,1,0,0,0,0,0
C_000529.jpg,1,0,0,0,0,0
C_000530.jpg,0,0,0,0,1,0
C_000531.jpg,0,0,0,0,0,1
C_000532.jpg,0,1,0,0,0,0
C_000533.jpg,0,1,0,0,0,0
C_000534.jpg,0,0,1,0,0,0
C_000535.jpg,0,1,0,0,0,0
C_000536.jpg,0,1,0,0,0,0
C_000537.jpg,0,0,0,0,1,0
C_000538.jpg,0,1,0,0,0,0
C_000539.jpg,0,0,0,1,0,0
C_000540.jpg,0,0,0,1,0,0
C_000541.jpg,0,0,0,0,1,0
C_000542.jpg,0,0,0,1,0,0
C_000543.jpg,1,0,0,0,0,0
C_000544.jpg,0,0,1,0,0,0
C_000545.jpg,0,0,1,0,0,0
C_000546.jpg,0,0,1,0,0,0
C_000547.jpg,0,0,0,0,0,1
C_000548.jpg,0,0,1,0,0,0
C_000549.jpg,0,0,0,1,0,0
C_000550.jpg,1,0,0,0,0,0
C_000551.jpg,0,0,0,0,0,1
C_000552.jpg,0,0,1,0,0,0
C_000553.jpg,0,0,0,0,1,0
C_000554.jpg,0,0,0,0,0,1
C_000555.jpg,0,1,0,0,0,0
C_000556.jpg,0,0,0,1,0,0
C_000557.jpg,0,0,0,0,1,0
C_000558.jpg,0,0,0,0,0,1
C_000559.jpg,0,0,0,1,0,0
C_000560.jpg,0,0,1,0,0,0
C_000561.jpg,0,0,0,1,0,0
C_000562.jpg,0,0,0,0,0,1
C_000563.jpg,1,0,0,0,0,0
C_000564.jpg,1,0,0,0,0,0
C_000565.jpg,0,0,0,0,0,1
C_000566.jpg,0,0,0,1,0,0
C_000567.jpg,0,0,0,1,0,0
C_000568.jpg,0,0,0,0,1,0
C_000569.jpg,0,0,0,0,0,1
C_000570.jpg,0,0,1,0,0,0
C_000571.jpg,0,0,0,0,1,0
C_000572.jpg,0,1,0,0,0,0
C_000573.jpg,0,0,0,0,1,0
C_000574.jpg,0,0,0,0,0,1
C_000575.jpg,1,0,0,0,0,0
C_000576.jpg,0,1,0,0,0,0
C_000577.jpg,0,0,0,0,1,0
C_000578.jpg,0,0,0,0,1,0
C_000579.jpg,0,0,0,0,0,1
C_000580.jpg,0,1,0,0,0,0
C_000581.jpg,0,0,0,0,0,1
C_000582.jpg,0,0,1,0,0,0
C_000583.jpg,0,0,0,1,0,0
C_000584.jpg,0,0,0,1,0,0
C_000585.jpg,0,1,0,0,0,0
C_000586.jpg,0,0,1,0,0,0
C_000587.jpg,0,0,0,0,0,1
C_000588.jpg,1,0,0,0,0,0
C_000589.jpg,0,1,0,0,0,0
C_000590.jpg,1,0,0,0,0,0
C_000591.jpg,0,0,0,0,0,1
C_000592.jpg,0,0,1,0,0,0
C_000593.jpg,0,0,0,0,0,1
C_000594.jpg,0,0,0,0,0,1
C_000595.jpg,0,0,1,0,0,0
C_000596.jpg,0,0,0,1,0,0
C_000597.jpg,0,1,0,0,0,0
C_000598.jpg,0,0,0,0,1,0
C_000599.jpg,0,0,0,0,0,1
C_000600.jpg,0,0,0,0,1,0
C_000601.jpg,0,0,0,0,1,0
C_000602.jpg,0,0,1,0,0,0
C_000603.jpg,1,0,0,0,0,0
C_000604.jpg,0,0,0,0,0,1
C_000605.jpg,0,0,0,1,0,0
C_000606.jpg,0,0,0,0,1,0
C_000607.jpg,0,0,0,0,1,0
C_000608.jpg,0,0,0,0,1,0
C_000609.jpg,0,1,0,0,0,0
C_000610.jpg,0,0,1,0,0,0
C_000611.jpg,1,0,0,0,0,0
C_000612.jpg,0,0,1,0,0,0
C_000613.jpg,0,0,0,1,0,0
C_000614.jpg,1,0,0,0,0,0
C_000615.jpg,0,0,1,0,0,0
C_000616.jpg,0,1,0,0,0,0
C_000617.jpg,0,0,0,0,0,1
C_000618.jpg,0,0,1,0,0,0
C_000619.jpg,0,0,0,0,1,0
C_000620.jpg,0,0,1,0,0,0
C_000621.jpg,0,0,0,1,0,0
C_000622.jpg,0,0,0,0,1,0
C_000623.jpg,0,0,0,0,1,0
C_000624.jpg,0,0,0,0,0,1
C_000625.jpg,0,0,0,0,0,1
C_000626.jpg,0,0,0,0,1,0
C_000627.jpg,0,0,0,0,0,1
C_000628.jpg,1,0,0,0,0,0
C_000629.jpg,1,0,0,0,0,0
C_000630.jpg,0,0,0,1,0,0
C_000631.jpg,0,0,0,1,0,0
C_000632.jpg,0,0,0,0,0,1
C_000633.jpg,0,0,0,0,0,1
C_000634.jpg,0,0,1,0,0,0
C_000635.jpg,0,0,0,1,0,0
C_000636.jpg,0,1,0,0,0,0
C_000637.jpg,0,0,0,0,0,1
C_000638.jpg,0,0,0,0,1,0
C_000639.jpg,0,0,0,0,0,1
C_000640.jpg,1,0,0,0,0,0
C_000641.jpg,0,0,0,0,1,0
C_000642.jpg,0,1,0,0,0,0
C_000643.jpg,0,0,1,0,0,0
C_000644.jpg,0,0,0,1,0,0
C_000645.jpg,0,0,1,0,0,0
C_000646.jpg,0,0,0,1,0,0
C_000647.jpg,0,0,0,0,1,0
C_000648.jpg,1,0,0,0,0,0
C_000649.jpg,0,0,0,1,0,0
C_000650.jpg,1,0,0,0,0,0
C_000651.jpg,0,0,1,0,0,0
C_000652.jpg,0,0,1,0,0,0
C_000653.jpg,0,0,1,0,0,0
C_000654.jpg,0,0,0,0,1,0
C_000655.jpg,0,0,0,0,0,1
C_000656.jpg,0,0,0,1,0,0
C_000657.jpg,0,0,0,0,1,0
C_000658.jpg,0,0,1,0,0,0
C_000659.jpg,1,0,0,0,0,0
C_000660.jpg,0,1,0,0,0,0
C_000661.jpg,0,0,0,1,0,0
C_000662.jpg,0,1,0,0,0,0
